ns3, theo
0.540397, 0.509537
0.0470553, 0
0.955717, 1
0.959102, 1
0.542461, 0.538359
0.607487, 0.636746
0.483843, 0.434927
0.573238, 0.565073
0.538938, 0.485401
0.540648, 0.509575
0.547781, 0.490425
0.612573, 0.61058
0.884335, 1
0.549983, 0.514599
0.434085, 0.38942
0.122176, 0
1.00178, 1
0.422513, 0.363254
0.942893, 1
0.454629, 0.414703
0.535147, 0.461641
0.550743, 0.490463
0.540225, 0.498583
0.956986, 1
0.51443, 0.515228
0.545959, 0.501417
0.381865, 0.319486
0.44038, 0.471154
0.0597064, 0
0.18829, 0.114143
0.0246373, 0
0.375864, 0.343909
0.381865, 0.336563
0.0651554, 0
0.375864, 0.341493
0.0238342, 0
0.372116, 0.336605
0.0184801, 0
0.470622, 0.522397
0.200078, 0.157993
0.844396, 1
0.324197, 0.291849
0.508826, 0.550158
0.482142, 0.477603
0.956088, 1
0.542401, 0.525358
0.545777, 0.486264
0.372116, 0.321943
0.956304, 1
0.494033, 0.42759
0.544404, 0.513736
0.0489983, 0
0.540725, 0.474642
0.942176, 1
0.565579, 0.57241
0.932884, 1
0.619136, 0.658717
1.0005, 1
0.412366, 0.411651
0.541425, 0.531185
0.535829, 0.457025
0.542375, 0.468815
0.538972, 0.520276
1.00099, 1
0.54595, 0.464252
0.54595, 0.473586
0.536054, 0.535748
1.00084, 1
0.539594, 0.51834
0.536054, 0.526414
0.544603, 0.479724
0.5438, 0.48166
0.233921, 0.131792
1.00036, 1
0.530268, 0.542975
0.342453, 0.280265
0.344136, 0.308084
0.374257, 0.294149
0.54, 0.503887
0.388022, 0.311558
0.540035, 0.496113
0.36468, 0.301933
0.370509, 0.394294
0.298774, 0.270683
0.312953, 0.268827
0.277884, 0.328699
0.297288, 0.250404
0.293592, 0.297341
0.38734, 0.348373
0.375328, 0.349694
0.425933, 0.341283
0.289931, 0.21411
0.27468, 0.238145
0.0117876, 0
0.9862, 1
0.189827, 0.142435
0.466339, 0.464192
0.344275, 0.329202
0.362003, 0.341293
1.00128, 1
0.399421, 0.339853
0.0765717, 0
1.00065, 1
1.00031, 1
0.434301, 0.434243
0.463748, 0.423322
0.528454, 0.535808
0.375199, 0.318854
0.68677, 0.670798
1.00024, 1
0.999629, 1
0.953515, 1
0.5369, 0.541943
0.541684, 0.458057
0.518964, 0.539836
0.543109, 0.489071
0.538895, 0.510929
0.334456, 0.24752
0.539888, 0.514483
0.546373, 0.482393
0.999551, 1
0.5369, 0.480973
0.539214, 0.517607
0.532617, 0.485517
0.541684, 0.519027
0.882202, 1
1.00028, 1
0.126252, 0
0.544188, 0.499659
0.48962, 0.477736
0.544188, 0.500341
0.491183, 0.522264
0.540484, 0.463456
0.501287, 0.484772
0.634974, 0.683182
0.419948, 0.401277
0.400207, 0.316818
0.383264, 0.335071
0.303402, 0.244903
0.190907, 0.212645
0.101753, 0
0.543981, 0.536544
0.286451, 0.216201
0.334085, 0.318401
0.357444, 0.324857
0.390389, 0.340072
0.335475, 0.280323
0.254689, 0.296198
0.300415, 0.242697
0.410665, 0.350355
0.355294, 0.261027
0.343731, 0.27816
0.543489, 0.512667
0.627435, 0.649645
0.827496, 1
0.538204, 0.485253
0.122029, 0
0.541572, 0.487333
0.543981, 0.495118
0.545138, 0.558441
0.999793, 1
0.395544, 0.460813
0.542375, 0.514747
0.537556, 0.441559
0.537332, 0.504882
0.999171, 1
0.999793, 1
0.998195, 1
