ns3, theo
0.559249, 0.5
0.518886, 0.5
0.349041, 0.25
0.233912, 0.25
0.383446, 0.333333
0.367073, 0.333333
0.298161, 0.25
0.543964, 0.5
0.538731, 0.5
0.541813, 0.5
0.55987, 0.5
0.387591, 0.333333
0.377435, 0.333333
0.376062, 0.333333
0.384922, 0.333333
0.384041, 0.333333
0.297202, 0.2
0.374275, 0.333333
0.258705, 0.25
0.20886, 0.2
0.229378, 0.2
0.297772, 0.25
1.00238, 1
0.221813, 0.2
0.28285, 0.25
0.23614, 0.2
0.242876, 0.2
0.268549, 0.2
0.23614, 0.2
0.197591, 0.2
0.24601, 0.2
0.208212, 0.2
0.187176, 0.2
0.234611, 0.2
0.267487, 0.2
0.167202, 0.2
0.249819, 0.2
0.234171, 0.2
0.361684, 0.333333
0.238627, 0.2
0.254741, 0.2
0.270674, 0.2
0.213653, 0.2
0.394301, 0.333333
0.281244, 0.25
0.254922, 0.2
0.557021, 0.5
0.301218, 0.25
0.54342, 0.5
0.381762, 0.333333
0.371995, 0.333333
0.314171, 0.25
0.538083, 0.5
0.365622, 0.333333
0.542772, 0.5
0.373601, 0.333333
0.312461, 0.25
0.318472, 0.25
0.18557, 0.25
0.324637, 0.25
0.23228, 0.2
0.225777, 0.2
0.553083, 0.5
0.54399, 0.5
0.537435, 0.5
1.00194, 1
1.00137, 1
0.548394, 0.5
1.00158, 1
0.537979, 0.5
0.374456, 0.333333
0.541166, 0.5
0.281813, 0.25
0.231321, 0.2
0.251399, 0.2
0.293964, 0.25
0.251321, 0.2
0.537435, 0.5
1.00124, 1
0.281813, 0.25
0.548394, 0.5
0.227642, 0.2
0.243782, 0.2
0.377176, 0.333333
0.301736, 0.25
0.275, 0.25
0.293964, 0.25
0.222824, 0.2
0.231632, 0.2
0.303083, 0.25
0.301736, 0.25
0.235337, 0.2
0.372306, 0.333333
0.313497, 0.25
0.553394, 0.5
0.383212, 0.333333
0.275, 0.25
0.249482, 0.25
0.301995, 0.25
0.530622, 0.5
0.354119, 0.333333
0.39601, 0.333333
0.363472, 0.333333
0.367953, 0.333333
0.389534, 0.333333
0.398368, 0.333333
0.387642, 0.333333
0.374145, 0.333333
0.382902, 0.333333
1.00083, 1
1.0014, 1
1.00083, 1
0.540648, 0.5
0.280311, 0.25
0.318886, 0.25
0.308083, 0.25
0.284326, 0.25
0.29557, 0.25
0.382927, 0.333333
0.369456, 0.333333
0.376425, 0.333333
0.999845, 1
1.0014, 1
0.372694, 0.333333
0.379093, 0.333333
0.376813, 0.333333
0.298782, 0.25
0.301192, 0.25
0.275674, 0.25
0.270052, 0.25
0.34443, 0.25
0.280337, 0.25
0.245777, 0.25
0.292824, 0.25
0.552124, 0.5
0.259041, 0.2
0.285544, 0.25
0.211218, 0.2
0.236917, 0.2
0.308161, 0.25
0.232306, 0.25
0.319352, 0.25
0.255674, 0.25
0.245803, 0.2
0.31886, 0.25
0.289948, 0.25
0.262383, 0.2
0.143161, 0.2
0.283705, 0.25
0.254611, 0.2
0.551088, 0.5
0.304404, 0.25
0.280026, 0.25
0.268782, 0.2
0.315699, 0.25
0.398601, 0.333333
0.236373, 0.25
0.304404, 0.25
0.53956, 0.5
0.290026, 0.25
0.545, 0.5
0.37829, 0.333333
0.374974, 0.333333
0.365959, 0.333333
0.396192, 0.333333
1.00132, 1
0.541192, 0.5
0.374689, 0.333333
